Date,Product,Quantity,Region
2025-04-21,Watch,15,North
2024-10-04,Bag,13,South
2024-09-17,Pants,7,South
2025-05-21,Watch,2,West
2025-01-15,Shoes,8,East
2025-04-20,Watch,1,East
2025-12-12,Shirt,13,West
2024-10-05,Bag,3,East
2024-07-02,Pants,15,East
2025-08-20,Watch,18,South
2025-10-05,Shirt,13,South
2025-02-04,Watch,8,North
2024-12-08,Pants,19,South
2025-03-10,Bag,3,South
2024-06-22,Bag,9,North
2025-01-22,Shirt,17,West
2024-11-01,Hat,19,West
2024-12-15,Bag,14,East
2025-03-04,Jacket,5,East
2024-11-14,Shirt,8,South
2025-08-12,Pants,7,South
2025-04-12,Jacket,19,North
2024-04-26,Pants,1,North
2025-01-01,Shirt,8,East
2025-07-13,Jacket,1,West
2024-02-19,Bag,4,South
2025-11-15,Bag,15,South
2024-11-03,Jacket,10,West
2024-05-17,Shirt,12,East
2025-08-11,Bag,9,East
2025-07-26,Shirt,16,West
2025-03-06,Shirt,10,South
2025-10-17,Shoes,7,North
2025-07-15,Pants,4,East
2025-04-01,Pants,4,East
2024-12-04,Watch,19,North
2024-05-29,Shoes,7,West
2024-04-09,Shirt,18,West
2024-01-08,Shoes,14,West
2024-03-13,Shoes,16,North
2025-03-14,Shirt,1,West
2024-02-11,Jacket,4,West
2024-04-20,Hat,11,West
2025-04-30,Jacket,19,East
2025-09-12,Pants,11,South
2025-11-13,Jacket,4,South
2024-01-16,Pants,3,East
2025-03-07,Bag,13,South
2025-07-15,Jacket,19,East
2024-10-10,Watch,20,North
2024-05-31,Watch,1,West
2024-01-30,Shoes,7,West
2025-01-08,Shirt,20,North
2024-06-28,Shoes,14,South
2024-04-20,Hat,11,West
2024-05-13,Bag,19,South
2025-04-20,Shoes,12,North
2025-07-19,Shirt,20,South
2025-09-12,Hat,15,East
2024-02-13,Hat,7,South
2025-05-30,Jacket,13,West
2024-11-12,Shoes,5,East
2024-02-24,Shoes,10,West
2024-08-17,Jacket,2,North
2025-10-05,Bag,9,South
2024-08-30,Watch,13,West
2025-03-25,Shirt,19,South
2024-03-31,Watch,4,South
2024-05-30,Shoes,4,West
2024-11-25,Watch,3,North
2024-11-24,Jacket,2,South
2024-11-22,Pants,10,North
2024-06-26,Shoes,12,West
2024-10-23,Bag,15,East
2024-07-30,Shoes,5,South
2024-11-24,Pants,19,South
2024-04-26,Watch,17,South
2025-08-04,Pants,6,South
2024-07-09,Hat,3,South
2025-02-19,Jacket,18,West
2024-06-06,Bag,4,North
2025-03-02,Watch,2,West
2024-11-09,Shoes,20,South
2025-03-27,Watch,18,North
2024-09-18,Hat,15,West
2024-01-27,Watch,6,South
2024-05-02,Shirt,7,West
2025-08-16,Watch,15,West
2024-06-07,Watch,8,North
2024-06-18,Shirt,15,West
2025-07-08,Bag,19,West
2024-09-29,Watch,7,East
2025-05-17,Jacket,3,East
2024-12-04,Bag,9,North
2024-09-30,Watch,10,South
2025-05-10,Shirt,1,North
2025-11-11,Watch,10,North
2025-09-22,Bag,7,East
2024-06-29,Watch,15,East
2025-04-14,Hat,14,South
2024-02-28,Hat,14,East
2024-08-14,Shirt,17,East
2024-11-20,Hat,18,North
2024-05-31,Pants,19,South
2025-11-25,Shoes,20,West
2024-01-03,Shirt,12,South
2025-03-20,Shoes,7,South
2024-09-15,Watch,13,North
2024-07-20,Shirt,5,North
2024-04-03,Jacket,19,West
2025-08-20,Hat,3,South
2024-11-15,Watch,1,North
2024-09-19,Jacket,6,East
2025-05-11,Watch,20,South
2024-11-17,Shirt,19,East
2024-03-09,Jacket,16,West
2024-04-05,Bag,4,South
2025-11-04,Bag,14,South
2024-05-24,Pants,1,West
2025-07-10,Hat,16,East
2025-10-23,Pants,18,North
2024-10-17,Shirt,4,North
2025-06-01,Watch,7,East
2025-11-26,Shirt,4,East
2025-09-02,Pants,12,North
2024-03-31,Bag,19,East
2025-08-18,Pants,6,North
2025-06-28,Shirt,10,North
2025-02-04,Shirt,4,East
2025-08-06,Shirt,9,East
2025-09-13,Shoes,9,West
2025-05-27,Bag,18,East
2024-12-17,Pants,9,East
2025-01-19,Shirt,3,West
2025-08-08,Pants,5,South
2025-03-05,Shirt,8,North
2024-10-14,Pants,9,East
2024-02-21,Pants,5,East
2025-12-09,Pants,5,North
2025-12-02,Bag,1,East
2024-09-21,Jacket,11,East
2024-09-17,Bag,7,East
2024-01-09,Shirt,3,South
2024-10-26,Pants,8,East
2025-07-31,Pants,13,South
2025-04-06,Hat,11,East
2025-04-17,Jacket,5,North
2025-03-02,Watch,5,West
2025-02-05,Shoes,17,South
2024-06-05,Shirt,3,West
2024-08-02,Pants,20,West
2025-11-23,Hat,6,West
2024-08-11,Pants,12,South
2024-07-03,Shirt,18,South
2025-08-31,Bag,18,West
2024-03-29,Hat,2,North
2025-10-11,Jacket,3,East
2024-09-17,Bag,12,North
2024-04-06,Pants,6,South
2025-02-02,Watch,13,North
2025-03-20,Shoes,15,South
2024-05-22,Jacket,14,West
2024-01-28,Jacket,16,South
2025-07-21,Jacket,8,East
2025-09-28,Jacket,6,East
2024-03-10,Watch,16,North
2025-05-05,Hat,8,South
2024-05-02,Bag,15,South
2025-03-09,Hat,6,North
2024-01-11,Shoes,17,South
2024-07-15,Jacket,18,South
2024-04-14,Bag,2,East
2025-01-18,Shirt,3,East
2025-11-29,Watch,16,North
2024-09-30,Shoes,16,North
2025-07-10,Shoes,16,North
2025-05-08,Jacket,6,East
2025-03-24,Shirt,13,South
2024-04-20,Bag,2,South
2024-10-11,Watch,3,South
2024-06-26,Jacket,9,East
2025-11-29,Bag,11,North
2025-04-24,Bag,17,East
2024-07-29,Jacket,6,West
2025-08-21,Shirt,20,South
2025-10-01,Watch,13,North
2025-01-19,Watch,13,South
2024-06-22,Shirt,1,North
2025-11-03,Watch,7,West
2025-07-17,Bag,16,South
2024-04-16,Jacket,9,South
2025-11-11,Hat,15,East
2024-07-21,Shirt,13,North
2025-11-09,Shoes,2,North
2024-03-29,Pants,8,West
2025-05-05,Shirt,6,East
2025-11-22,Jacket,5,West
2025-05-25,Hat,5,North
2025-01-22,Hat,15,East
2024-12-23,Shoes,18,North
2024-04-09,Watch,14,East
2025-04-04,Pants,15,South
2025-07-10,Bag,19,West
2024-01-23,Jacket,5,West
2025-03-10,Hat,13,East
2024-05-03,Watch,19,East
2024-01-27,Shoes,3,West
2025-05-04,Jacket,20,East
2024-01-22,Jacket,11,South
2025-03-18,Pants,8,East
2024-03-28,Shirt,7,West
2024-08-07,Shirt,8,North
2024-02-17,Pants,15,West
2024-09-26,Watch,19,East
2025-02-01,Hat,6,East
2024-03-04,Pants,15,East
2025-03-12,Hat,11,South
2024-10-01,Jacket,16,East
2025-10-22,Bag,17,West
2024-08-08,Shoes,17,South
2025-03-30,Shirt,10,South
2024-03-14,Shoes,19,North
2024-10-07,Hat,12,East
2025-08-29,Jacket,10,South
2025-01-18,Watch,4,West
2024-07-12,Jacket,14,North
2025-09-12,Bag,17,South
2024-05-08,Hat,14,West
2025-11-09,Jacket,6,East
2024-09-26,Watch,16,West
2025-07-25,Pants,19,West
2024-08-18,Bag,10,South
2025-12-13,Hat,11,North
2024-07-27,Shoes,17,West
2024-01-15,Watch,6,South
2024-08-02,Watch,18,East
2024-07-30,Jacket,1,South
2025-05-23,Hat,10,West
2024-04-06,Watch,13,East
2024-11-26,Hat,18,West
2025-06-28,Pants,9,East
2025-10-14,Hat,12,West
2024-11-17,Shoes,15,South
2025-08-16,Pants,9,East
2024-08-09,Shirt,4,North
2025-04-19,Hat,14,East
2025-06-28,Bag,20,North
2024-10-08,Bag,3,East
2025-01-08,Bag,13,East
2024-05-25,Shirt,13,South
2024-09-07,Shoes,11,South
2024-12-18,Jacket,9,West
2025-09-12,Shirt,20,East
2025-07-11,Hat,3,West
2024-08-22,Shoes,13,North
2024-06-09,Shoes,2,West
2025-06-08,Shirt,16,South
2024-03-30,Pants,11,North
2024-03-24,Shoes,11,North
2024-09-08,Watch,14,West
2025-01-30,Shirt,11,South
2024-09-19,Bag,2,East
2025-08-30,Pants,15,South
2024-01-29,Shirt,11,West
2024-02-10,Hat,3,East
2025-12-12,Jacket,14,South
2025-10-07,Shirt,4,West
2025-08-16,Shirt,3,West
2025-03-28,Shoes,7,East
2024-02-21,Shoes,10,West
2024-11-01,Shoes,7,North
2024-08-01,Shoes,15,East
2024-06-23,Shirt,1,West
2024-02-15,Shirt,5,East
2024-07-11,Jacket,18,South
2024-06-16,Hat,19,East
2024-02-17,Jacket,20,East
2024-10-17,Watch,18,East
2025-01-29,Pants,6,South
2024-08-18,Watch,10,East
2024-05-08,Bag,11,East
2025-07-06,Pants,20,West
2025-09-19,Shoes,16,East
2025-04-19,Jacket,16,West
2024-07-02,Jacket,12,East
2025-10-20,Shirt,6,South
2025-06-06,Shoes,14,South
2025-10-24,Jacket,10,South
2025-10-04,Pants,17,North
2024-10-28,Pants,5,North
2024-09-15,Shoes,16,North
2024-10-15,Pants,2,East
2024-12-01,Shoes,1,West
2025-05-01,Bag,10,South
2025-10-12,Pants,5,North
2024-06-06,Watch,6,East
2024-08-03,Hat,3,West
2025-08-27,Shirt,18,West
2025-02-07,Shirt,15,North
2025-06-07,Shoes,13,East
2025-02-09,Shoes,15,North
2024-12-18,Pants,14,South
2025-10-09,Bag,12,West
2024-03-19,Watch,20,South
2024-12-25,Bag,19,East
2025-09-14,Watch,15,South
2025-06-25,Pants,2,West
2024-03-28,Bag,7,South
2024-02-02,Hat,17,North
2025-06-07,Shoes,14,West
2025-11-15,Bag,12,West
2025-05-13,Shoes,4,North
2024-10-20,Watch,13,South
2024-07-02,Watch,20,South
2024-08-06,Hat,7,East
2025-12-12,Shirt,13,East
2024-03-24,Shoes,1,West
2025-04-20,Hat,15,East
2025-01-23,Shoes,8,North
2025-03-04,Jacket,2,West
2025-03-26,Shirt,12,South
2024-04-06,Shoes,18,South
2025-05-20,Shoes,4,North
2025-10-26,Bag,10,South
2025-03-19,Hat,14,South
2025-05-19,Bag,4,West
2025-07-13,Shirt,2,North
2025-10-15,Watch,6,North
2025-12-31,Watch,11,West
2025-01-02,Pants,12,South
2025-05-02,Hat,8,West
2024-02-03,Shoes,3,South
2025-03-07,Hat,11,South
2024-11-02,Jacket,14,North
2024-08-31,Watch,9,North
2024-01-26,Pants,14,South
2025-04-21,Shoes,3,North
2025-08-02,Hat,19,West
2025-06-20,Pants,9,East
2025-06-16,Hat,19,South
2024-10-09,Shirt,14,East
2025-11-05,Shirt,11,East
2024-06-26,Jacket,12,North
2025-01-12,Hat,8,West
2024-09-07,Jacket,11,West
2024-02-27,Hat,7,North
2024-10-08,Bag,19,West
2024-08-31,Shoes,15,West
2024-10-10,Pants,19,East
2025-02-26,Jacket,17,West
2025-06-17,Shirt,19,East
2025-06-17,Shirt,17,South
2024-06-20,Jacket,5,East
2025-01-25,Watch,6,West
2024-04-19,Shirt,18,North
2024-11-16,Pants,20,East
2025-02-13,Pants,17,North
2025-03-20,Jacket,9,North
2025-10-02,Bag,19,South
2025-01-06,Shoes,18,East
2024-04-17,Watch,19,North
2024-11-17,Jacket,1,North
2024-01-10,Watch,15,North
2025-09-25,Watch,5,East
2024-12-08,Pants,16,North
2024-09-30,Shoes,4,East
2024-11-28,Bag,2,West
2024-11-04,Shirt,15,North
2024-06-17,Watch,14,East
2024-02-08,Bag,13,East
2024-01-19,Pants,12,West
2024-11-13,Shirt,13,South
2024-10-20,Shirt,11,West
2025-12-11,Pants,15,North
2024-05-03,Shoes,16,West
2025-11-25,Shirt,20,West
2024-02-27,Jacket,2,North
2024-05-22,Shoes,11,South
2025-09-20,Shoes,4,West
2024-06-01,Hat,17,West
2025-01-02,Shirt,17,South
2024-02-18,Jacket,5,East
2025-05-02,Pants,10,North
2024-07-30,Pants,6,East
2025-04-30,Jacket,17,North
2024-05-08,Shirt,3,West
2025-08-13,Watch,3,West
2024-06-07,Bag,14,West
2025-05-10,Shirt,8,South
2025-04-07,Watch,5,South
2025-04-25,Jacket,2,West
2025-11-09,Pants,16,West
2024-08-23,Pants,18,West
2025-04-04,Jacket,11,North
2024-11-28,Bag,17,South
2025-04-02,Shoes,16,West
2025-10-21,Shoes,19,West
2024-04-03,Pants,9,East
2024-09-10,Hat,4,West
2024-03-29,Bag,5,East
2024-04-13,Jacket,19,West
2025-08-12,Shirt,1,South
2024-08-10,Hat,7,East
2024-07-12,Watch,13,West
2024-08-01,Bag,13,West
2024-04-28,Jacket,14,South
2025-04-07,Bag,15,North
2024-07-06,Watch,15,North
2025-11-07,Jacket,10,North
2024-01-16,Watch,15,North
2024-10-18,Jacket,7,South
2024-07-27,Shirt,14,East
2025-02-13,Watch,20,East
2025-09-30,Shirt,16,West
2024-06-20,Bag,9,East
2024-05-28,Hat,10,East
2024-12-24,Jacket,12,East
2025-11-21,Shirt,6,South
2024-03-16,Bag,12,North
2025-09-04,Watch,19,North
2024-12-21,Watch,17,West
2024-12-05,Jacket,11,South
2025-11-23,Hat,17,North
2024-08-08,Shoes,8,South
2025-02-19,Shirt,8,North
2024-08-31,Hat,5,West
2025-02-16,Watch,15,North
2024-08-05,Watch,19,South
2025-02-22,Pants,15,East
2025-07-14,Pants,13,South
2025-05-08,Watch,6,North
2025-10-20,Bag,14,North
2024-06-24,Shoes,5,South
2024-02-08,Watch,1,West
2024-09-09,Watch,4,East
2024-02-19,Shirt,13,West
2024-04-06,Jacket,12,North
2024-01-29,Jacket,12,North
2025-10-11,Pants,2,South
2025-08-30,Pants,17,West
2024-06-27,Pants,13,South
2024-06-20,Pants,9,West
2024-07-20,Hat,7,West
2024-05-15,Bag,11,West
2025-11-03,Watch,7,North
2025-04-08,Jacket,4,North
2025-09-22,Pants,19,West
2024-06-17,Pants,7,West
2025-07-18,Jacket,6,East
2024-04-28,Shirt,11,South
2024-10-06,Jacket,7,East
2025-10-30,Bag,7,North
2025-12-06,Jacket,9,South
2025-05-26,Jacket,20,South
2025-05-22,Shoes,9,East
2025-05-18,Shirt,2,West
2025-03-31,Watch,16,South
2024-11-21,Jacket,10,South
2024-02-12,Jacket,10,East
2025-10-03,Shirt,7,East
2024-02-28,Jacket,11,North
2025-04-04,Hat,19,East
2025-01-03,Hat,20,South
2024-06-27,Pants,8,West
2024-08-30,Shirt,19,South
2024-02-02,Shoes,4,North
2024-10-02,Pants,3,East
2025-03-18,Bag,20,North
2024-12-05,Hat,6,East
2025-05-07,Pants,18,West
2025-12-16,Hat,19,East
2024-09-11,Hat,11,West
2024-08-05,Pants,11,West
2024-12-08,Shirt,11,East
2024-08-22,Bag,8,North
2025-10-15,Watch,13,West
2024-05-09,Pants,13,West
2025-06-07,Shoes,1,West
2024-01-05,Shoes,5,North
2025-12-08,Jacket,18,South
2025-10-17,Shoes,2,South
2025-02-03,Bag,18,South
2024-10-28,Shoes,14,North
2025-08-15,Shirt,20,North
2024-09-09,Bag,7,North
2024-12-30,Shoes,12,West
2025-11-26,Watch,10,East
2024-01-09,Watch,19,West
2024-01-24,Shoes,18,South
2025-09-08,Watch,5,East
2024-09-26,Hat,1,South
2024-05-27,Shoes,20,West
2024-02-27,Bag,7,West
2024-04-12,Bag,13,South
2025-07-16,Pants,13,South
2025-03-08,Shoes,19,West
2025-08-19,Jacket,6,South
2024-08-16,Pants,16,West
2024-07-10,Shoes,7,South
2024-12-17,Bag,7,North
2025-06-21,Watch,8,West
2024-08-26,Jacket,1,East
2025-09-18,Pants,9,West
2024-06-22,Jacket,17,North
2024-01-07,Hat,16,West
2024-06-28,Pants,6,West
2024-08-28,Shirt,13,North
2024-11-08,Shoes,8,West
2025-10-27,Shoes,8,East
2024-06-14,Shirt,12,West
2025-09-05,Pants,1,West
2024-12-11,Jacket,14,North
2024-11-11,Watch,5,South
2024-12-06,Jacket,17,East
2024-07-04,Bag,7,South
2024-08-14,Jacket,9,East
2024-09-05,Shoes,15,South
2024-01-22,Watch,9,West
2025-03-21,Shoes,19,East
2024-10-24,Pants,7,East
2024-09-08,Shirt,3,West
2024-09-21,Bag,12,North
2024-04-17,Watch,14,East
2024-04-04,Watch,10,North
2025-07-09,Watch,9,South
2024-03-26,Hat,1,West
2024-07-08,Pants,14,East
2024-08-06,Pants,1,South
2025-09-30,Bag,8,East
2025-04-24,Watch,19,East
2025-11-27,Jacket,20,West
2024-10-22,Watch,18,West
2024-10-17,Bag,13,West
2024-08-30,Pants,7,South
2025-09-03,Shoes,6,North
2024-04-18,Shoes,2,North
2024-04-22,Jacket,6,West
2025-07-01,Jacket,17,South
2025-06-18,Shoes,10,West
2024-12-16,Jacket,17,North
2025-10-03,Shoes,7,West
2024-11-03,Shirt,16,East
2025-09-04,Shirt,19,North
2024-12-11,Bag,4,East
2024-04-10,Bag,16,East
2024-08-07,Hat,18,East
2025-02-25,Jacket,18,East
2024-08-19,Hat,9,North
2025-01-20,Shoes,8,South
2025-02-20,Pants,5,East
2025-05-02,Shoes,11,East
2024-06-11,Shirt,3,West
2024-09-24,Shoes,18,West
2024-02-05,Shoes,17,North
2024-02-06,Pants,8,South
2024-04-27,Hat,5,West
2025-07-30,Hat,19,West
2025-09-02,Watch,15,West
2024-05-28,Pants,11,East
2025-08-01,Hat,19,South
2025-11-27,Shoes,11,South
2024-02-22,Bag,13,South
2025-06-13,Pants,15,East
2025-08-03,Hat,16,West
2024-03-20,Bag,2,North
2025-06-03,Hat,14,West
2025-10-16,Shirt,1,East
2025-03-25,Watch,8,North
2024-06-07,Watch,2,South
2024-02-04,Watch,10,West
2024-02-19,Bag,8,East
2025-11-15,Bag,15,South
2024-07-18,Shirt,17,West
2024-11-03,Watch,3,South
2025-02-15,Hat,4,South
2025-08-30,Bag,1,East
2025-12-19,Shirt,8,East
2024-10-06,Jacket,6,South
2024-01-06,Jacket,8,South
2024-11-27,Pants,8,West
2024-12-13,Watch,16,West
2024-05-28,Watch,4,South
2024-04-11,Jacket,13,South
2025-04-24,Jacket,10,West
2024-04-08,Bag,7,South
2024-10-13,Watch,11,North
2025-03-22,Shoes,14,West
2025-02-18,Bag,1,South
2024-03-29,Jacket,4,South
2025-05-22,Pants,14,East
2024-09-10,Bag,13,South
2024-09-02,Jacket,14,East
2025-02-08,Shoes,6,South
2025-04-24,Jacket,14,West
2025-04-01,Watch,14,East
2025-09-07,Watch,7,North
2024-09-13,Pants,7,West
2025-07-26,Watch,18,West
2024-01-18,Bag,6,West
2024-07-26,Pants,6,North
2025-09-04,Bag,16,South
2025-10-10,Watch,9,South
2024-01-24,Shirt,12,North
2025-04-19,Bag,16,West
2025-10-08,Bag,6,North
2025-03-03,Watch,6,West
2024-12-31,Shoes,18,East
2025-04-04,Pants,1,West
2024-04-25,Watch,1,West
2024-01-18,Jacket,3,North
2024-04-14,Shirt,13,North
2024-11-05,Bag,16,North
2024-01-01,Pants,2,West
2024-12-11,Jacket,18,East
2025-06-09,Jacket,19,East
2024-04-02,Bag,19,West
2024-09-24,Pants,11,South
2025-06-07,Shirt,18,South
2024-07-06,Hat,10,South
2025-01-29,Pants,9,West
2025-01-25,Shirt,1,South
2025-03-02,Pants,12,South
2025-01-11,Watch,16,East
2024-11-06,Hat,18,East
2025-05-07,Watch,5,East
2024-02-01,Watch,17,South
2024-01-02,Jacket,14,South
2025-09-17,Shirt,6,West
2024-04-28,Watch,12,South
2025-11-01,Shirt,8,West
2025-05-19,Pants,4,North
2025-06-03,Hat,15,East
2025-07-26,Shoes,19,West
2025-02-12,Hat,6,South
2025-11-27,Pants,4,West
2025-06-02,Shirt,13,East
2025-07-06,Shoes,6,West
2024-03-28,Jacket,5,North
2024-03-02,Hat,5,South
2025-02-03,Hat,18,East
2024-11-16,Jacket,9,East
2025-12-31,Shirt,16,South
2025-10-05,Jacket,10,North
2025-08-07,Shoes,17,East
2025-12-22,Bag,1,West
2024-11-07,Shoes,18,South
2024-05-03,Jacket,19,East
2025-03-20,Pants,19,East
2024-02-25,Watch,9,West
2025-05-01,Pants,4,South
2025-03-01,Shirt,18,East
2024-06-18,Shirt,8,East
2024-04-01,Bag,7,East
2024-09-17,Shirt,19,South
2025-01-08,Shirt,7,East
2025-05-19,Shirt,13,East
2025-07-18,Bag,6,South
2024-06-24,Hat,13,West
2024-09-03,Shirt,20,West
2025-08-25,Bag,12,West
2024-08-19,Bag,13,East
2024-07-28,Jacket,2,South
2024-03-01,Shirt,7,East
2025-11-04,Shoes,17,North
2025-05-07,Pants,10,South
2024-04-26,Shirt,2,South
2025-04-04,Shirt,16,South
2025-11-18,Hat,19,North
2024-09-15,Bag,18,East
2024-03-28,Pants,2,South
2025-06-06,Hat,8,South
2024-03-24,Shirt,13,West
2024-06-21,Hat,14,South
2024-10-10,Hat,6,East
2025-12-18,Hat,9,West
2025-11-17,Jacket,9,East
2025-01-31,Shoes,1,North
2025-03-27,Pants,18,North
2024-04-29,Watch,14,North
2024-06-02,Jacket,16,South
2025-09-27,Bag,6,East
2025-06-04,Shirt,10,South
2024-05-10,Jacket,7,South
2024-07-06,Shoes,5,East
2025-12-25,Shoes,10,North
2024-01-02,Watch,13,South
2024-06-23,Hat,11,West
2024-02-17,Pants,17,North
2024-10-10,Watch,2,South
2024-11-23,Watch,3,West
2024-04-07,Shirt,8,South
2025-01-19,Hat,15,South
2025-01-13,Jacket,1,West
2025-05-10,Pants,17,West
2025-07-19,Bag,20,South
2024-11-14,Hat,2,South
2025-09-05,Pants,11,North
2024-01-24,Watch,8,North
2024-10-30,Bag,11,South
2024-07-11,Hat,3,West
2025-03-01,Bag,15,West
2025-05-02,Bag,10,South
2025-08-19,Watch,9,East
2025-05-25,Shoes,5,East
2025-11-03,Shoes,16,East
2024-10-07,Shirt,3,East
2024-07-11,Bag,5,North
2025-03-23,Pants,9,East
2024-08-31,Shoes,3,West
2024-01-22,Shoes,9,North
2025-01-27,Shoes,13,West
2024-01-14,Bag,1,East
2025-11-05,Bag,17,West
2024-09-10,Hat,9,South
2025-12-06,Watch,18,South
2025-05-04,Jacket,17,West
2025-10-04,Pants,7,West
2025-11-07,Watch,13,North
2025-07-30,Bag,2,East
2025-05-08,Bag,5,East
2024-01-19,Shoes,11,East
2025-01-16,Jacket,6,West
2025-11-25,Jacket,11,South
2024-06-03,Watch,9,East
2024-11-30,Jacket,2,West
2024-03-04,Hat,4,East
2025-02-21,Hat,5,North
2025-06-03,Jacket,13,West
2024-08-20,Bag,12,South
2025-04-09,Watch,3,North
2025-04-30,Watch,12,East
2024-05-07,Bag,1,South
2025-02-26,Shoes,9,East
2025-03-26,Watch,19,West
2024-05-15,Pants,5,East
2024-02-10,Hat,11,North
2025-10-16,Hat,16,North
2025-03-06,Shoes,9,East
2025-11-11,Shoes,8,East
2024-11-26,Hat,20,West
2025-04-26,Bag,12,West
2024-06-03,Pants,3,East
2024-06-12,Hat,15,North
2024-12-30,Jacket,13,East
2025-08-02,Shirt,20,North
